AGEB_ID,DEL,lambdas,V_SAGUA,CRITICO,FUGAS,FALTAS,ANTIGUEDAD,SUBSID,ING,D_FALTA
7337,AO,0,0,0,5.450963958,9.615952066,18,0,0.66,4.246278556
7379,AO,0,0,0,0.023845749,1.605275617,18,0,0,0.047286698
7397,AO,1,0,0,15.64094553,7.852285379,18,0,0.72,2.938748839
7398,AO,0,0.03,0.017880922,8.332200774,5.559819975,18,0,0.66,4.033887158
7333,AO,0,0.01,0,12.23076353,33.72960522,18,0,0.92,1.594727288
7274,AO,0,0,0,15.0676232,8.165370255,33,0,0.95,5.000453895
7284,AO,0,0,0,1.735365096,5.106931569,33,0,0.86,5
7281,AO,0,0,0,2.256433542,6.640361566,64,0,0.86,4.956939261
7270,AO,0,0,0,3.663705361,20.21413869,33,0,0.83,4.432765287
7414,AO,0,0,0,1.553204855,0.30415164,18,0,0.87,0.668668747
7268,AO,0,0,0,10.48223249,47.02839441,33,0,0.83,4
7245,AO,0,0,0,7.106966802,5.695462838,18,0,0.7,1.25353228
7255,AO,0,0.01,0,16.03862316,17.18612014,33,0,0.69,7.003475615
7238,AO,0,0,0,0.485145173,0.388116138,64,0,0.85,4
7239,AO,1,0,0,0.572921741,0.516078405,64,0,0.89,4.009211592
7234,AO,1,0,0,0.379090045,0.303272036,64,0,0.89,4
7228,AO,0,0,0,10.61085115,17.3010596,33,0,0.76,4.998338463
7390,AO,0,0,0,9.106413375,36.18712657,18,0,0.74,2.262805613
7389,AO,2,0.01,0,4.280366509,11.81367341,33,0,0.72,4.728127632
7357,AO,1,0.01,0.999747079,14.36806934,11.11144198,18,0.049,0.62,4.470447632
7236,AO,0,0,0,1.3226553,1.156086291,33,0,0.82,3.091221181
7232,AO,0,0,0,0.556134959,0.44269658,33,0,0.79,4.000130727
7250,AO,0,0,0,18.48208945,28.06539509,18,0,0.65,5
7242,AO,0,0,0,18.39496848,26.21420382,18,0,0.75,6.845329546
7244,AO,0,0,0,6.889285471,3.190224754,18,0,0.69,4.251271364
7265,AO,0,0,0,14.69299438,19.56050082,33,0,0.75,5.582935907
7277,AO,0,0,0,1.244381156,3.662035972,18,0,0.87,4.922347715
7283,AO,0,0,0,1.874747002,5.517112607,33,0,0.87,5
7287,AO,1,0,0,6.776618841,19.32397324,64,0.001,0.91,5.276847463
7346,AO,1,0,0,14.63128992,10.64012242,18,0,0.74,7.227897335
7365,AO,0,0,0,8.84770657,11.77334302,33,0,0.72,3.808749378
7351,AO,0,0.01,0.515499177,22.35353725,14.86470147,18,0,0.71,4.071015419
7296,AO,1,0,0,2.035609428,3.035046465,64,0,0.94,6.763758982
7303,AO,0,0,0,4.375194201,4.992407238,64,0,0.91,6.831093283
7319,AO,0,0,0,17.42233531,16.92260417,64,0,0.85,22.95421514
7318,AO,0,0,0,25.49061902,57.98963049,64,0,0.84,16.56728623
7415,AO,0,0,0.5715164,0.238216036,0.119108018,9,0,0.12,1.143032799
7249,AO,1,0,0,17.81994751,27.07075903,18,0,0.62,4.450194097
7310,AO,0,0,0,24.76400386,77.99369476,64,0,0.89,17.64205751
7311,AO,0,0,0,27.14836466,50.48992946,64,0,0.95,40.08314957
7264,AO,0,0,0,24.08764185,33.73391126,64,0,0.74,6.998790219
7298,AO,0,0,0,16.395266,24.87821282,64,0.018,0.9,7.567866633
7338,AO,0,0,0.054946528,17.87292007,6.136274613,18,0,0.63,3.805322078
7224,AO,0,0,0,15.19481241,27.40962798,33,0,0,4.371960821
7356,AO,2,0.12,0.043751279,17.31413047,10.11189725,18,0,0.64,3.198843547
7373,AO,1,0,0,24.65620115,15.67074838,18,0,0.78,9.924474494
7395,AO,0,0.01,0,2.431304415,0.067650333,18,0.024,0.76,0.045846036
7317,AO,0,0,0,24.13693478,85.46927864,64,0,0.85,7.544639568
7280,AO,0,0,0,8.805174424,41.72997082,33,0,0.73,4.160025131
7320,AO,0,0,0,8.289428568,25.76773823,64,0.042,0.87,5.625737151
7261,AO,0,0,0,7.506184521,2.853116086,33,0,0.74,3.205545316
7372,AO,0,0,0,6.425836831,2.989033562,18,0,0.64,4.254377831
7353,AO,0,0,0.753694755,25.497204,24.33412683,14,0.012,0.76,3.419088387
7352,AO,0,0,0.999406829,4.276259821,2.946799251,18,0,0.79,2.070807213
7387,AO,1,0,0,2.827642826,4.367796677,18,0,0.87,4.007065005
7380,AO,1,0.06,0,1.296238291,1.540952113,18,0,0.69,1.805797816
7410,AO,1,0,0,1.927617042,10.82899143,18,0,0.96,1.056777406
7267,AO,0,0,0,6.204880773,27.20793652,64,0.044,0.78,2.210277421
7257,AO,1,0,0,15.0753134,14.49566889,33,0,0.74,5.09707352
7229,AO,0,0,0,3.165013286,11.8544822,33,0,0.71,4.328851126
7384,AO,0,0,0.999654577,6.712483921,4.468853889,18,0,0.7,8.999991956
7282,AO,0,0,0,2.58785961,7.615701139,64,0,0.86,5
7349,AO,1,0,0,2.557847189,9.094699905,18,0.046,0.72,1.919413
7243,AO,0,0,0,7.559852926,11.69608507,18,0,0.77,1.951474886
7330,AO,1,0.01,0.001077195,0.044070946,0.06777876,18,0,0.68,0.016445367
7241,AO,1,0.17,0,9.202078746,16.87969483,18,0,0.81,4.8821639
7256,AO,0,0,0,14.26404487,24.4245432,33,0,0.75,7.53108137
