		Acciones						Criterios								Riesgos  socio-hidrológicos			
		Acción colectiva	Captación de agua	Compra de agua	Modificación vivienda	Movilizaciones	Contaminación de agua	Crecimiento urbano	Desperdicio de agua	Eficacia del servicio	Falta de infraestructura	Falta de planeación	Obstrucción de alcantarillado	Escasez de agua	Inundaciones	Salud
Acciones	Acción colectiva	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054000	0.166535	0.000000
	Captación de agua	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018243	0.000000	0.000000
	Compra de agua	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.266885	0.000000	1.000000
	Modificación vivienda	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078867	0.284770	0.000000
	Movilizaciones	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082004	0.048695	0.000000
Criterios	Contaminación de agua	0.000000	0.000000	0.626697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Crecimiento urbano	0.000000	0.000000	0.000000	0.048851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Desperdicio de agua	0.000000	0.000000	0.000000	0.000000	0.064343	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Eficacia del servicio	0.000000	0.250000	0.279687	0.334351	0.698615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Falta de infraestructura	0.250000	0.750000	0.093616	0.181603	0.237042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Falta de planeación	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Obstrucción de alcantarillado	0.750000	0.000000	0.000000	0.435195	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Riesgos  socio-hidrológicos	Escasez de agua	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.250000	1.000000	0.750000	0.750000	0.000000	0.000000	0.000000	0.000000	0.000000
	Inundaciones	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.250000	0.250000	1.000000	1.000000	0.000000	0.000000	0.000000
	Salud	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.500000	0.000000

