		Acciones						Criterios							Riesgos  socio-hidrológicos			
		Acción colectiva	Captación de agua	Compra de agua	Modificación vivienda	Movilizaciones	Contaminación de agua	Crecimiento urbano	Desperdicio de agua	Eficacia del servicio	Infraestructura insuficiente	Obstrucción de alcantarillado	Escasez de agua	Inundaciones	Salud
Acciones	Acción colectiva	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007	0.023007
	Captación de agua	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974	0.003974
	Compra de agua	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815	0.200815
	Modificación vivienda	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406	0.036406
	Movilizaciones	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151	0.021151
Criterios	Contaminación de agua	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611	0.150611
	Crecimiento urbano	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530	0.002530
	Desperdicio de agua	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350	0.002350
	Eficacia del servicio	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661	0.085661
	Infraestructura insuficiente	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Obstrucción de alcantarillado	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465	0.045465
Riesgos  socio-hidrológicos	Escasez de agua	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840	0.217840
	Inundaciones	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513	0.067513
	Salud	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676	0.142676

