		Clima				Demandas institucionales			Drenaje y saneamiento				Económico			Gestión		Infraestructura				Infraestructura Verde			PAI			Riesgos socio-hidrológicos				Texcoco			Trasvase		
		Cambio climático	Lluvias atípicas	Sequía prolongadas	Organismos operadores	Prioridades federales	Construcción	Mantenimiento	Plantas tratamiento	Costo	Financiamiento	Asignación bloques agua	Capacidad	Carencia	Edad	Gaviones	Pozos	Construcción PAI	Mantenimiento PAI	Escasez de agua	Inundación	Salud	Re uso	Reforestación	Construcción trasvase	Mantenimiento Cutzamala
Clima	Cambio climático	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Lluvias atípicas	0.024877	0.024877	0.000000	0.024877	0.024877	0.000000	0.000000	0.000000	0.024877	0.000000	0.024877	0.024877	0.024877	0.024877	0.000000	0.000000	0.000000	0.000000	0.024877	0.024877	0.024877	0.024877	0.024877	0.000000	0.000000
	Sequía prolongadas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Demandas institucionales	Organismos operadores	0.007989	0.007989	0.000000	0.007989	0.007989	0.000000	0.000000	0.000000	0.007989	0.000000	0.007989	0.007989	0.007989	0.007989	0.000000	0.000000	0.000000	0.000000	0.007989	0.007989	0.007989	0.007989	0.007989	0.000000	0.000000
	Prioridades federales	0.051657	0.051657	0.000000	0.051657	0.051657	0.000000	0.000000	0.000000	0.051657	0.000000	0.051657	0.051657	0.051657	0.051657	0.000000	0.000000	0.000000	0.000000	0.051657	0.051657	0.051657	0.051657	0.051657	0.000000	0.000000
Drenaje y saneamiento	Construcción	0.042050	0.042050	0.000000	0.042050	0.042050	0.000000	0.000000	0.000000	0.042050	0.000000	0.042050	0.042050	0.042050	0.042050	0.000000	0.000000	0.000000	0.000000	0.042050	0.042050	0.042050	0.042050	0.042050	0.000000	0.000000
	Mantenimiento	0.027154	0.027154	0.000000	0.027154	0.027154	0.000000	0.000000	0.000000	0.027154	0.000000	0.027154	0.027154	0.027154	0.027154	0.000000	0.000000	0.000000	0.000000	0.027154	0.027154	0.027154	0.027154	0.027154	0.000000	0.000000
	Plantas tratamiento	0.020083	0.020083	0.000000	0.020083	0.020083	0.000000	0.000000	0.000000	0.020083	0.000000	0.020083	0.020083	0.020083	0.020083	0.000000	0.000000	0.000000	0.000000	0.020083	0.020083	0.020083	0.020083	0.020083	0.000000	0.000000
Económico	Costo	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Financiamiento	0.016730	0.016730	0.000000	0.016730	0.016730	0.000000	0.000000	0.000000	0.016730	0.000000	0.016730	0.016730	0.016730	0.016730	0.000000	0.000000	0.000000	0.000000	0.016730	0.016730	0.016730	0.016730	0.016730	0.000000	0.000000
Gestión	Asignación bloques agua	0.012053	0.012053	0.000000	0.012053	0.012053	0.000000	0.000000	0.000000	0.012053	0.000000	0.012053	0.012053	0.012053	0.012053	0.000000	0.000000	0.000000	0.000000	0.012053	0.012053	0.012053	0.012053	0.012053	0.000000	0.000000
Infraestructura	Capacidad	0.034542	0.034542	0.000000	0.034542	0.034542	0.000000	0.000000	0.000000	0.034542	0.000000	0.034542	0.034542	0.034542	0.034542	0.000000	0.000000	0.000000	0.000000	0.034542	0.034542	0.034542	0.034542	0.034542	0.000000	0.000000
	Carencia	0.102965	0.102965	0.000000	0.102965	0.102965	0.000000	0.000000	0.000000	0.102965	0.000000	0.102965	0.102965	0.102965	0.102965	0.000000	0.000000	0.000000	0.000000	0.102965	0.102965	0.102965	0.102965	0.102965	0.000000	0.000000
	Edad	0.055019	0.055019	0.000000	0.055019	0.055019	0.000000	0.000000	0.000000	0.055019	0.000000	0.055019	0.055019	0.055019	0.055019	0.000000	0.000000	0.000000	0.000000	0.055019	0.055019	0.055019	0.055019	0.055019	0.000000	0.000000
Infraestructura Verde	Gaviones	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Pozos	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PAI	Construcción PAI	0.045425	0.045425	0.000000	0.045425	0.045425	0.000000	0.000000	0.000000	0.045425	0.000000	0.045425	0.045425	0.045425	0.045425	0.000000	0.000000	0.000000	0.000000	0.045425	0.045425	0.045425	0.045425	0.045425	0.000000	0.000000
	Mantenimiento PAI	0.022291	0.022291	0.000000	0.022291	0.022291	0.000000	0.000000	0.000000	0.022291	0.000000	0.022291	0.022291	0.022291	0.022291	0.000000	0.000000	0.000000	0.000000	0.022291	0.022291	0.022291	0.022291	0.022291	0.000000	0.000000
Riesgos socio-hidrológicos	Escasez de agua	0.154000	0.154000	0.000000	0.154000	0.154000	0.000000	0.000000	0.000000	0.154000	0.000000	0.154000	0.154000	0.154000	0.154000	0.000000	0.000000	0.000000	0.000000	0.154000	0.154000	0.154000	0.154000	0.154000	0.000000	0.000000
	Inundación	0.146475	0.146475	0.000000	0.146475	0.146475	0.000000	0.000000	0.000000	0.146475	0.000000	0.146475	0.146475	0.146475	0.146475	0.000000	0.000000	0.000000	0.000000	0.146475	0.146475	0.146475	0.146475	0.146475	0.000000	0.000000
	Salud	0.138026	0.138026	0.000000	0.138026	0.138026	0.000000	0.000000	0.000000	0.138026	0.000000	0.138026	0.138026	0.138026	0.138026	0.000000	0.000000	0.000000	0.000000	0.138026	0.138026	0.138026	0.138026	0.138026	0.000000	0.000000
Texcoco	Re uso	0.008365	0.008365	0.000000	0.008365	0.008365	0.000000	0.000000	0.000000	0.008365	0.000000	0.008365	0.008365	0.008365	0.008365	0.000000	0.000000	0.000000	0.000000	0.008365	0.008365	0.008365	0.008365	0.008365	0.000000	0.000000
