		Clima				Demandas institucionales			Drenaje y saneamiento				Económico			Gestión		Infraestructura				Infraestructura Verde			PAI			Riesgos socio-hidrológicos				Texcoco			Trasvase		
		Cambio climático	Lluvias atípicas	Sequía prolongadas	Organismos operadores	Prioridades federales	Construcción	Mantenimiento	Plantas tratamiento	Costo	Financiamiento	Asignación bloques agua	Capacidad	Carencia	Edad	Gaviones	Pozos	Construcción PAI	Mantenimiento PAI	Escasez de agua	Inundación	Salud	Re uso	Reforestación	Construcción trasvase	Mantenimiento Cutzamala
Clima	Cambio climático	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Lluvias atípicas	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
	Sequía prolongadas	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Demandas institucionales	Organismos operadores	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.139092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Prioridades federales	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.692369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.204730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Drenaje y saneamiento	Construcción	0.000000	0.000000	0.000000	0.000000	0.088136	0.000000	0.000000	0.000000	0.289210	0.000000	0.000000	0.250000	0.187151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Mantenimiento	0.000000	0.000000	0.000000	0.000000	0.139489	0.000000	0.000000	0.000000	0.024640	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Plantas tratamiento	0.000000	0.000000	0.000000	0.000000	0.022375	0.000000	0.000000	0.000000	0.095119	0.470706	0.000000	0.000000	0.062849	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Económico	Costo	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Financiamiento	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Gestión	Asignación bloques agua	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Infraestructura	Capacidad	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037519	0.142584	0.000000	0.000000	0.000000	0.000000	0.000000
	Carencia	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.187566	0.345405	0.000000	0.000000	0.000000	0.000000	0.000000
	Edad	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.185941	0.094448	0.000000	0.000000	0.000000	0.000000	0.000000
Infraestructura Verde	Gaviones	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Pozos	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PAI	Construcción PAI	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010971	0.000000	0.057025	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
