		Alternatives			Biofísico					Infraestructura						Riesgos_poblacion			Socio-institucional			
		Mantenimiento	Nueva_infraestructura	Basura	Escurrimiento	Hundimientos	Precipitacion	Antiguedad	Capacidad	Falla	Falta	Gasto_hidraulico	Encharcamientos	Inundaciones	Peticion de Delegaciones	Peticiones de usuarios	Presion de medios
Alternatives	Mantenimiento	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.526316	0.125348	0.836364
	Nueva_infraestructura	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.473684	0.874652	0.163636
Biofísico	Basura	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Escurrimiento	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Hundimientos	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Precipitacion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Infraestructura	Antiguedad	0.134462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Capacidad	0.000000	0.257712	0.898876	0.000000	0.084562	0.000000	0.166052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Falla	0.581718	0.000000	0.101124	0.000000	0.420932	0.000000	0.833948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Falta	0.000000	0.639313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Gasto_hidraulico	0.283820	0.102975	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Riesgos_poblacion	Encharcamientos	0.000000	0.000000	0.000000	0.000000	0.432173	0.000000	0.000000	0.745763	0.167286	0.000000	0.750000	0.000000	0.000000	0.000000	0.000000	0.000000
	Inundaciones	0.000000	0.000000	0.000000	0.000000	0.062333	0.000000	0.000000	0.254237	0.832714	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000
Socio-institucional	Peticion de Delegaciones	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.296961	0.000000	0.000000	0.000000
	Peticiones de usuarios	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.875000	0.163424	0.000000	0.000000	0.000000
	Presion de medios	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.539615	0.000000	0.000000	0.000000

