,,Acciones,,,,,,,,,Biofísico,,,,Fuentes de contaminacion,,,Infraestructura,,Meta,,Problemas,,,,,Uso de suelo / tierra
,,Captacion de agua,Educacion,Gestión de servicios,Limpieza,Movilizaciones,Reforestación,Separar basura,Vigilancia,Deterioro de vegetación,Mantos acuiferos,Ojos de agua secos,Basura,Falta de infraestructura,Fugas,meta,Crecimiento urbano,Escasez de agua,Falta de filtración,Mala calidad de agua,Asentamientos,Cambio de uso de suelo,Crecimiento de poblacion,,,,
Acciones,Captacion de agua,0,0,0,0,0,0,0,0,0.634272,0,0,0.456336,0,0,0.074151,0.139641,0,0.113124,0,0,0,0,,,,
,Educacion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854,0,0.054046,0,0,0,0,0,,,,
,Gestion de servicios,0,0,0,0,0,0,0,0,0,0,0,0,0.126051,0,0.019458,0.010451,0.389413,0.010466,0.027537,0.078436,0,0,,,,
,Limpieza,0,0,0,0,0,0,0,0,0.128869,0,0,0.452383,0.873949,0,0.041513,0.091765,0,0.022984,0,0,0,0,,,,
,Movilizaciones,0,0,0,0,0,0,0,0,0.119497,0,0,0,0,0,0.099294,0.200566,0.056541,0.079696,0.253222,0.437551,0,0,,,,
,Reforestacion,0,0,0,0,0,0,0,0,0.117362,0,0,0,0,0,0.04106,0.014114,0,0.250337,0,0,0,0,,,,
,Separar basura,0,0,0,0,0,0,0,0,0,0,0,0.09128,0,0,0.005288,0.012675,0,0,0,0,0,0,,,,
,Vigilancia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037977,0.068046,0,0.064583,0.052574,0.484013,0,0,,,,
Biofísico,Deterioro de vegetación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075228,0.120256,0,0.178353,0,0,0,0,,,,
,Mantos acuiferos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02031,0.027661,0,0.041493,0.299926,0,0,0,,,,
,Ojos de agua secos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004312,0.006331,0,0.009559,0.033408,0,0,0,,,,
Fuentes de contaminacion,Basura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05793,0.138857,0,0,0,0,0,0,,,,
,Falta de infraestructura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006421,0.015391,0,0,0,0,0,0,,,,
Infraestructura,Fugas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020419,0,0.5,0,0.333333,0,0,0,,,,
Meta,meta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Problemas,Crecimiento urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257403,0,0,0,0,0,0,0,,,,
,Escasez de agua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034301,0,0,0,0,0,0,0,,,,
,Falta de filtracion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096694,0,0,0,0,0,0,0,,,,
,Mala calidad de agua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009805,0,0,0,0,0,0,0,,,,
Uso de suelo / tierra,Asentamientos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064014,0.108504,0,0.133432,0,0,0,0,,,,
,Cambio de uso de suelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015436,0.008645,0,0.084196,0,0,0,0,,,,
,Crecimiento de poblacion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017132,0.0371,0,0.011777,0,0,0,0,,,,
