"","FID","AGEB_ID","OBJECTID","mun_name","municolo","frecuen","volume","Precipitac","FrecCateg","PrecCateg","VolCateg","ProbaFP","ProbaVP"
"1",0,5959,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,761.2352941,"4","4","4",0.279699248120301,0.315548780487805
"2",1,5960,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,760.0526316,"4","4","4",0.279699248120301,0.315548780487805
"3",2,5961,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,761.8235294,"4","4","4",0.279699248120301,0.315548780487805
"4",3,5962,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,761.1,"4","4","4",0.279699248120301,0.315548780487805
"5",4,5963,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,764.8823529,"4","4","4",0.279699248120301,0.315548780487805
"6",5,5964,11394,"AZCAPOTZALCO","AZCAPOTZALCO_INFONAVIT EL ROSARIO",70,7492.913,765.2857143,"4","4","4",0.279699248120301,0.315548780487805
"7",6,5965,11406,"AZCAPOTZALCO","AZCAPOTZALCO_NUEVA AMPL EL ROSARIO",0,0,764.2089552,"1","4","1",0.470479704797048,0.460644007155635
"8",7,5966,11416,"AZCAPOTZALCO","AZCAPOTZALCO_SANTA BARBARA",14,279.075,763.9066667,"3","4","3",0.370030581039755,0.393846153846154
"9",8,5967,11416,"AZCAPOTZALCO","AZCAPOTZALCO_SANTA BARBARA",14,279.075,766.1875,"3","4","3",0.370030581039755,0.393846153846154
"10",9,5968,11433,"AZCAPOTZALCO","AZCAPOTZALCO_HACIENDA DEL ROSARIO",1,0.013,772.1929825,"1","4","1",0.470479704797048,0.460644007155635
"11",10,5969,11409,"AZCAPOTZALCO","AZCAPOTZALCO_TIERRA NUEVA",10,436.063,768.7058824,"2","4","3",0.426136363636364,0.393846153846154
"12",11,5970,11434,"AZCAPOTZALCO","AZCAPOTZALCO_PRESIDENTE MADERO",7,32.075,770.1818182,"2","4","1",0.426136363636364,0.460644007155635
"13",12,5971,11411,"AZCAPOTZALCO","AZCAPOTZALCO_PASTEROS",8,330.075,767.6956522,"2","4","3",0.426136363636364,0.393846153846154
"14",13,5972,11410,"AZCAPOTZALCO","AZCAPOTZALCO_SANTA INES",2,0.025,767.6818182,"1","4","1",0.470479704797048,0.460644007155635
"15",14,5973,11418,"AZCAPOTZALCO","AZCAPOTZALCO_SAN ANDRES",0,0,766.1818182,"1","4","1",0.470479704797048,0.460644007155635
"16",15,5974,11418,"AZCAPOTZALCO","AZCAPOTZALCO_SAN ANDRES",0,0,769.2222222,"1","4","1",0.470479704797048,0.460644007155635
"17",16,5975,11419,"AZCAPOTZALCO","AZCAPOTZALCO_SANTA CATARINA",6,222.525,766.3225806,"2","4","2",0.426136363636364,0.355623100303951
"18",17,5976,11435,"AZCAPOTZALCO","AZCAPOTZALCO_LA PROVIDENCIA",3,0.038,777.245614,"1","4","1",0.470479704797048,0.460644007155635
"19",18,5977,11427,"AZCAPOTZALCO","AZCAPOTZALCO_SAN JUAN TLIHUACA",8,52.575,778,"2","4","2",0.426136363636364,0.355623100303951
"20",19,5978,11437,"AZCAPOTZALCO","AZCAPOTZALCO_UNIDAD HAB MIGUEL HIDALGO",5,27.038,770.3529412,"2","4","1",0.426136363636364,0.460644007155635
"21",20,5979,11438,"AZCAPOTZALCO","AZCAPOTZALCO_TEZOZOMOC",8,24.213,772,"2","4","1",0.426136363636364,0.460644007155635
"22",21,5980,11412,"AZCAPOTZALCO","AZCAPOTZALCO_SANTO DOMINGO",2,0.025,770.5925926,"1","4","1",0.470479704797048,0.460644007155635
"23",22,5981,11439,"AZCAPOTZALCO","AZCAPOTZALCO_LA PRECIOSA",3,4.025,772.8928571,"1","4","1",0.470479704797048,0.460644007155635
"24",23,5982,11373,"AZCAPOTZALCO","AZCAPOTZALCO_SAN RAFAEL",1,24,770,"1","4","1",0.470479704797048,0.460644007155635
"25",24,5983,11414,"AZCAPOTZALCO","AZCAPOTZALCO_VILLA AZCAPOTZALCO",2,24.013,770.6285714,"1","4","1",0.470479704797048,0.460644007155635
"26",25,5984,11377,"AZCAPOTZALCO","AZCAPOTZALCO_SAN MARCOS",4,178.025,768.72,"2","4","2",0.426136363636364,0.355623100303951
"27",26,5985,11376,"AZCAPOTZALCO","AZCAPOTZALCO_BARRIO SANTO TOMAS",6,32.05,765.9210526,"2","4","1",0.426136363636364,0.460644007155635
"28",27,5986,11378,"AZCAPOTZALCO","AZCAPOTZALCO_BARRIO SAN SEBASTIAN",2,360.013,767.2857143,"1","4","3",0.470479704797048,0.393846153846154
"29",28,5987,11446,"AZCAPOTZALCO","AZCAPOTZALCO_ESTACION PANTACO",1,160,763.6690647,"1","4","2",0.470479704797048,0.355623100303951
"30",29,5988,11455,"AZCAPOTZALCO","AZCAPOTZALCO_COSMOPOLITA",0,0,761,"1","4","1",0.470479704797048,0.460644007155635
"31",30,5989,11454,"AZCAPOTZALCO","AZCAPOTZALCO_EUZKADI",2,0.025,753.9565217,"1","4","1",0.470479704797048,0.460644007155635
"32",31,5990,11450,"AZCAPOTZALCO","AZCAPOTZALCO_PRO HOGAR",16,178.625,750.3333333,"3","3","2",0.235474006116208,0.191489361702128
"33",32,5991,11450,"AZCAPOTZALCO","AZCAPOTZALCO_PRO HOGAR",16,178.625,751,"3","3","2",0.235474006116208,0.191489361702128
"34",33,5992,11449,"AZCAPOTZALCO","AZCAPOTZALCO_AMPL PRO HOGAR",0,0,741.0869565,"1","3","1",0.165129151291513,0.170840787119857
"35",34,5993,11449,"AZCAPOTZALCO","AZCAPOTZALCO_AMPL PRO HOGAR",0,0,739,"1","3","1",0.165129151291513,0.170840787119857
"36",35,5994,11441,"AZCAPOTZALCO","AZCAPOTZALCO_PETROLERA",0,0,777.2142857,"1","4","1",0.470479704797048,0.460644007155635
"37",36,5995,11463,"AZCAPOTZALCO","AZCAPOTZALCO_NUEVA AMPL PETROLERA SECC 35",1,0.013,781.75,"1","4","1",0.470479704797048,0.460644007155635
"38",37,5996,11414,"AZCAPOTZALCO","AZCAPOTZALCO_VILLA AZCAPOTZALCO",2,24.013,772.7931034,"1","4","1",0.470479704797048,0.460644007155635
"39",38,5997,11386,"AZCAPOTZALCO","AZCAPOTZALCO_EL RECREO",11,60.688,774.1578947,"2","4","2",0.426136363636364,0.355623100303951
"40",39,5998,11381,"AZCAPOTZALCO","AZCAPOTZALCO_SANTA MARIA MANINALCO",12,462.088,769.7,"3","4","3",0.370030581039755,0.393846153846154
