X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-98.6520113657838,19.6016157541983,0,88,"""2900600180303""",4,37,9999,33,63,0,65,0,55,0.5,0.0625,0,0.1511,1,0,9999,0.384,54,96,0.26,0.6,1869,9999,9,0,29,6,9999,9999,9999
-98.9110697040844,19.6437960982112,1,644,"""1500200010228""",9,149,9999,25,98,0,41,0,45,0,0.0625,0.039,0.1111,1,0,9999,0.67829,44,55,1,0.9,2190,9999,46,0.010321,15,2,9999,9999,3
-98.9090619452765,19.6369573697681,2,645,"""1500200010232""",14,209,9999,90,77,0.73,95,0,49,0,0.0625,0.074,0.1124,1,0,9999,0.68407,26,25,1,0.4,3201,9999,7,0.013445,15,2,9999,9999,3
-98.9063343903045,19.635273268118,3,646,"""150020001050A""",6,12,9999,51,33,0,27,0,52,0,0.0625,0.021,0.031,1,0,9999,0.50436,95,24,1,0,148,9999,77,0.009512,15,2,9999,9999,3
-98.9165601928065,19.6306619830765,4,647,"""1500200010514""",6,15,9999,82,17,0,58,0,38,0,0.0625,0.021,0.1715,1,0,9999,0,43,72,0.25,0,32,9999,7,0.008006,15,2,9999,9999,3
-98.8977541085127,19.6533966275594,5,648,"""1500200050177""",9,1136,9999,32,14,0.26,53,0,58,0,0.0625,0.038,0.1707,1,0,9999,0.59471,3,23,1,4,5099,9999,49,0.008033,15,2,9999,9999,3
-98.9333629552711,19.6671861472804,6,649,"""150020008036A""",9,300,9999,72,3,0.9,27,0,12,0,0.0625,0.033,0.2347,1,0,9999,0.55625,64,20,1,1.9,3098,9999,91,0,15,2,9999,9999,3
-98.9305882868958,19.6731429255297,7,650,"""1500200080374""",9,250,9999,42,49,0,78,0,44,0,0.0625,0.033,0.2112,1,0,9999,0.47655,16,33,0.5,2.3,768,9999,15,0,15,2,9999,9999,3
-98.9308634506047,19.6634136476291,8,651,"""1500200080389""",9,157,9999,80,60,0,70,0,82,0,0.0625,0.033,1,1,0,9999,0,22,95,0.5,0,250,9999,72,0,15,2,9999,9999,3
-98.8882395219094,19.6295830313015,9,652,"""1500200110656""",4,97,9999,59,78,1.79,1,0,75,0,0.0625,0.01,0,1,0,9999,0.58257,88,9,1,1.3,1553,9999,96,0.00477,15,2,9999,9999,3
-98.889450076654,19.6254016735894,10,653,"""1500200110660""",4,95,9999,100,81,0,0,0,58,0,0.0625,0.011,0.0319,1,0,9999,0.59297,62,84,1,0,1252,9999,10,0.005551,15,2,9999,9999,3
-98.9247398472144,19.6363230634438,11,654,"""1500200120181""",14,325,9999,60,54,0.51,80,0,76,0,0.0625,0.07,0.1098,1,0,9999,0.63794,80,64,1,2.4,5116,9999,1,0.004965,15,2,9999,9999,3
-98.925954804294,19.6080917826116,12,655,"""1500200150069""",9,9,9999,74,80,0,95,0,21,0,0.0625,0.038,0.0917,1,0,9999,0,37,72,0.5,0,40,9999,48,0.008898,15,2,9999,9999,3
-98.9115747367294,19.6097310738586,13,656,"""1500200150073""",14,307,9999,89,99,100,88,0,95,0,0.0625,0.068,0.1154,1,0,9999,0.59214,34,39,1,1.7,2214,9999,52,0.002538,15,2,9999,9999,3
-98.9185247284485,19.6166262233379,14,657,"""1500200150088""",14,55,9999,96,14,90,82,0,14,0,0.0625,0.072,0.0392,1,0,9999,0.46196,83,75,1,2.9,702,9999,57,0.008563,15,2,9999,9999,3
-98.9372404490227,19.6214172639891,15,658,"""1500200150105""",9,17,9999,5,67,0,89,0,78,0,0.0625,0.033,0.033,1,0,9999,0.53056,26,75,1,0,220,9999,64,8.4E-05,15,2,9999,9999,3
-98.9504503090158,19.6210472309263,16,659,"""150020015011A""",9,26,9999,12,25,0,84,0,46,0,0.0625,0.039,0.0183,1,0,9999,0.39507,25,92,1,0,105,9999,55,0.011241,15,2,9999,9999,3
