"","x"
"1","290010001003A"
"2","2900100010044"
"3","2900100010059"
"4","2900100010063"
"5","2900100010082"
"6","2900200010022"
"7","2900200010037"
"8","2900200020075"
"9","290020002008A"
"10","2900200040094"
"11","2900200050056"
"12","2900200050060"
"13","290030001002A"
"14","290040001007A"
"15","2900400010084"
"16","2900400010099"
"17","2900400010101"
"18","2900400010116"
"19","2900400010120"
"20","2900400010135"
"21","290050001001A"
"22","2900500010039"
"23","2900500010043"
"24","2900500010058"
"25","2900500010096"
"26","2900500010132"
"27","2900500010306"
"28","2900500010310"
"29","2900500010325"
"30","2900500010344"
"31","2900500010378"
"32","2900500010382"
"33","2900500010397"
"34","290050001040A"
"35","2900500010414"
"36","2900500010486"
"37","2900500010490"
"38","2900500010522"
"39","2900500010537"
"40","2900500010575"
"41","2900500010626"
"42","2900500010630"
"43","2900500010645"
"44","2900500010700"
"45","2900500010715"
"46","290050001072A"
"47","2900500010734"
"48","2900500010749"
"49","2900500020698"
"50","2900500060683"
"51","290050007065A"
"52","2900500070664"
"53","2900500070679"
"54","2900500090503"
"55","2900500090518"
"56","290050009058A"
"57","2900500090594"
"58","2900500090607"
"59","2900500090753"
"60","2900500090768"
"61","2900500090772"
"62","2900500090787"
"63","2900500090791"
"64","2900500100166"
"65","2900500100221"
"66","2900500100467"
"67","2900500100471"
"68","2900500100556"
"69","2900500100560"
"70","2900600010093"
"71","2900600010106"
"72","2900600010110"
"73","2900600010125"
"74","2900600010144"
"75","2900600010159"
"76","2900600010182"
"77","2900600010197"
"78","290060001020A"
"79","2900600010214"
"80","2900600010229"
"81","2900600010233"
"82","2900600010248"
"83","2900600010252"
"84","2900600010267"
"85","2900600010271"
"86","2900600010286"
"87","2900600010290"
"88","2900600180303"
"89","2900600180318"
"90","2900700010033"
"91","2900700010048"
"92","2900700010067"
"93","2900700010071"
"94","2900700010086"
"95","2900700010103"
"96","2900700010118"
"97","2900700010122"
"98","2900700010137"
"99","2900700010141"
"100","2900700010156"
"101","2900700010160"
"102","2900800010045"
"103","290080001005A"
"104","2900800010064"
"105","2900800010098"
"106","2900800010100"
"107","2900800010115"
"108","290080001012A"
"109","2900900010023"
"110","2900900010038"
"111","2900900010042"
"112","2900900010057"
"113","2900900010061"
"114","2901000010039"
"115","2901000010128"
"116","2901000010151"
"117","2901000010255"
"118","290100001026A"
"119","2901000010289"
"120","2901000010293"
"121","2901000010306"
"122","2901000010359"
"123","2901000010363"
"124","2901000010397"
"125","290100001040A"
"126","2901000010414"
"127","2901000010471"
"128","2901000010486"
"129","2901000010490"
"130","2901000010503"
"131","2901000050452"
"132","2901000050467"
"133","2901000060433"
"134","2901000060518"
"135","2901000060522"
"136","2901000060541"
"137","2901000100537"
"138","2901000120202"
"139","2901000120378"
"140","2901000120382"
"141","2901100010021"
"142","2901100010036"
"143","2901100010040"
"144","2901100010055"
"145","290110001006A"
"146","2901200010033"
"147","2901200010048"
"148","2901200010052"
"149","2901200010067"
"150","2901300010134"
