"station_name","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","est_U$ESTACIONES[2:50]","est_U$COORDENADAS..ALTITUD[2:50]","est_U$COORDENADAS..LATITUD[2:50]"
"1","Tanque Chalmita",0.466315784854755,0.22301587179919,0.206801051159037,0.181067429980262,0.151799203198994,0.0852341656467732,0.103209118210098,0.0881192618685443,0.0966690798719256,0.0827728763809139,0.189419807220242,0.170441016880079,"CHALMITA","99.1455336138889","19.5560131027778"
"2","Remedios",0.408123500972214,0.381754718729229,0.270300966776108,0.252877180260211,0.225416304084447,0.0924784320435162,0.123157042141121,0.11176080423548,0.0841479530661929,0.0851920523246255,0.129361508622113,0.198824159913329,"REMEDIOS","99.1554144527778","19.5150017055556"
"3","Lindavista",0.339119547842972,0.232820879488281,0.378986625386195,0.242265606811344,0.244678764696843,0.103874157348632,0.103494439320814,0.117532520608225,0.126713339489438,0.091848126258444,0.13601537114041,0.161694922780124,"LINDAVISTA","99.1208939416667","19.4899803388889"
"4","Coyol",0.37378350352187,0.248552879446814,0.226986395959191,0.218671998070158,0.19103122260387,0.115731912250585,0.117183111651677,0.117797396926067,0.121385427615915,0.080430910008132,0.150836794196886,0.162776853917342,"COYOL","99.0901117555556","19.4847394555556"
"5","Gen. 101",0.305168008358397,0.405601533350026,0.22533610851845,0.158648570963941,0.22287298072422,0.109041032650645,0.125200074298356,0.125179887987196,0.0956444250454255,0.0965547135233818,0.301617980169078,0.140303171932238,"GENERADORA 101","99.099083675","19.4587837722222"
"6","Rosario",0.399186226643423,0.316969368072471,0.261918060737444,0.203757515869709,0.159543245072872,0.105815147246465,0.106446932299036,0.117445744804884,0.0769760053326377,0.0794934105948061,0.098152435401869,0.158467362258843,"ROSARIO","99.1908821944444","19.5100361805556"
"7","Campamento Mecoaya",0.617363027132076,0.209346852181641,0.29869907607124,0.264695190962336,0.174031973201419,0.102806760333029,0.101604830332666,0.120821963234959,0.10901103108489,0.0827748199643555,0.167274584485669,0.170922674095328,"CAMPAMENTO MECOAYA","99.1829003777778","19.4869492916667"
"8","Nueva Santa Maria",0.349604042149106,0.216203277819291,0.179408293338872,0.206974538336731,0.171961090283668,0.103572429093915,0.10421156005774,0.122530973089743,0.0940430170437492,0.080766443685723,0.177956907447352,0.194400811186974,"NUEVA STA. MARIA","99.1655419833333","19.4693517083333"
"9","S. Joaquin",0.295819159952104,0.207034266133586,0.361899005228105,0.217361750371379,0.173909037541872,0.089340823820076,0.0966612657976415,0.0864978551665285,0.0780091708397361,0.0863973308647377,0.115525826352267,0.186844810131618,"SAN JOAQUIN","99.2282680222222","19.4368529"
"10","Tizoc",0.294290615544691,0.323456939747004,0.220719160721393,0.184168531245341,0.15863818929088,0.0950214257167904,0.105345357638691,0.100655225038136,0.0945279591682461,0.0905664021523979,0.164538237871879,0.154869896495261,"TIZOC","99.1706816194445","19.4229817833333"
"11","G.D.F.",0.227590634074647,0.219423584889189,0.292981390201389,0.198337617059966,0.168963893482489,0.118562618822208,0.107040486542374,0.115891183017996,0.102045121910853,0.111096980115343,0.178186950881943,0.106704341451184,"G.D.F","99.1326867611111","19.431499875"
"12","M.Carrillo",0.617015129790667,0.330953502384702,0.384604696650571,0.19870043075318,0.15686059233893,0.105081201128793,0.0939209009904375,0.0952954334371212,0.116402747109271,0.109634514204074,0.152972840511409,0.193028703408061,"MARCOS CARRILLO","99.1339531","19.4034323972222"
"13","López  Mateos",0.508209152065711,0.249184673813913,0.348957630555151,0.40634077979377,0.332159552731282,0.136589268934004,0.140031187772651,0.147672991706022,0.119271373436862,0.118531315520918,0.192891910439856,0.0885713971670688,"LOPEZ MATEOS","99.0692220833333","19.4210877777778"
"14","Ch. lago",0.470417606995034,0.224654959353301,0.301194055661453,0.287211625202839,0.376837253609195,0.131612250515101,0.128700542311786,0.147492961602796,0.130171244937729,0.15865557080581,0.293352662551898,0.0991513581876412,"CHURUBUSCO LAGO","99.0474494027778","19.4422443527778"
"15","Triángulo",0.266164246657581,0.242174045437091,0.28784727573738,0.164759772192409,0.129409886359933,0.0887056622960785,0.0894736986477449,0.0963022966494051,0.0856868324525206,0.094322776662664,0.17736383990001,0.242992833139611,"TRIANGULO","99.2183061666667","19.3972928972222"
"16","T.S.Lucia",0.492709001120742,0.169245855396076,0.384204897817597,0.155345329913356,0.200175993952108,0.0875758907563384,0.0985777144556407,0.0885661896047862,0.0704065334915711,0.0851616753123929,0.206918658063576,2.11597444674924,"STA. FÉ","99.2652961055555","19.3623490694444"
"17","T.Lienzo",0.168213659813098,0.189918506094394,0.299627653015772,0.263519855706965,0.178768073044724,0.106937450798049,0.123489497305424,0.11415966676912,0.094719386289916,0.118104009059153,0.165656817051491,0.112664304155712,"TANQUE LIENZO","99.2209162194444","19.3377946694444"
"18","Universidad",0.264764466490958,0.256948690311696,0.387671037454024,0.218946961531901,0.160458874334881,0.105168722403517,0.124255606593593,0.10319480916668,0.0940580293516634,0.0793057421238132,0.260586931829015,0.7443956456447,"UNIVERSIDAD","99.1811667777778","19.3477605055556"
"19","Radiocomunicación",0.262678110539527,0.329788459987731,0.213193431838743,0.173539121794917,0.179440009816159,0.117297601908255,0.107808035107067,0.101950201470662,0.111290887217158,0.0962842240010033,0.203802492474853,0.143038558568268,"RADIO COMUNICACIÓN","99.1677832111111","19.3993639333333"
"20","Municipio Libre",0.563307433403507,0.343855322704748,0.421940644828884,0.263082819695796,0.150422212672789,0.112102268014161,0.109222146698495,0.120174298503654,0.102601598764801,0.115918817113149,0.289155185514757,0.0881993682634135,"MUNICIPIO LIBRE","99.1277416361111","19.3656876083333"
"21","El Cartero",0.194771843559271,0.203878888797266,0.289767634288725,0.177680003300212,0.174742638998961,0.0835008668364908,0.0824794424916865,0.085999621803223,0.0780315418758705,0.100165423519591,0.267966441479965,1.31799947372628,"EL CARTERO","99.2712238444444","19.3739044416667"
"22","La Venta",0.219745506639383,0.113200169484823,0.18791228335708,0.218196275517623,0.13436526061136,0.0901069867134675,0.100647270984747,0.0861029702117274,0.0718663781047155,0.0937451292115716,0.232291500012562,0.350696597619341,"LA VENTA","99.3109044583333","19.3335198055556"
"23","El Zarco",0.221371244072838,0.121417364245977,0.277584283590302,0.215986991368674,0.135332764863981,0.110327223774941,0.11403257914677,0.0925808919611327,0.0791188429593993,0.108477439064304,0.201647081395866,0.144942516507731,"EL ZARCO","99.3529333444444","19.2954449222222"
"24","Sn. Fco.",0.191457521138355,0.117481269275485,0.259008495901144,0.247892337593302,0.165276601727861,0.0826113461897713,0.0940340392613765,0.0886317534675923,0.0758859810922764,0.0828996341687349,0.202500866015064,0.13848664385459,"SAN FRANCISCO","99.2391739638889","19.3117821805556"
"25","Rio Magdalena",0.218244296105205,0.096387300433177,0.259556052537289,0.198985372763318,0.1336397758379,0.0955121736029679,0.0910023012564414,0.0913506954112252,0.0692679541455594,0.0847571560622315,0.145508123774275,0.138122147835077,"RIO MAGDALENA","99.2646206388889","19.2888000111111"
"26","M. Alegre",0.263069312405308,0.27411242365933,0.222212292554437,0.206072576285502,0.137492310911002,0.0874427215065516,0.0981468239804806,0.0809389636961763,0.0800679481660873,0.118400697012459,0.123710605687292,0.150861281457657,"MONTE ALEGRE","99.2801635722222","19.2298661222222"
"27","Xotepingo",0.27225684747633,0.38780936922342,0.330252572695457,0.284804329567629,0.147504183240732,0.107370553522595,0.129782923549713,0.133212925457324,0.102078096061075,0.123258426022347,0.270716646613236,0.693536367604188,"XOTEPINGO","99.1446112","19.3328675055556"
"28","Aculco",0.452706678199033,0.549259457355235,0.306330611964325,0.158156712339047,0.222326995120358,0.108744461202004,0.104608463914332,0.107952815286209,0.0991715770027257,0.149469357375486,0.21190436285428,1.22939811595914,"ACULCO","99.0998121888889","19.3791774888889"
"29","Udad. E. De Ote.",0.401387484918797,0.230877910742401,0.564192523014264,0.234496559847051,0.223225064218508,0.13680903952338,0.131785636605853,0.170208050693791,0.145621852645398,0.123609802888976,0.134049587901496,0.144138365289425,"EJERCITO DE ORIENTE","99.0371675027778","19.3796852583333"
"30","Cerro de la Estrella",0.3744054444112,0.238290925595745,0.267399665024377,0.229171161932899,0.164164055136534,0.126890311946527,0.127828888575821,0.122972789155038,0.107645495625402,0.143964908275212,0.178305089687548,1.43681983037229,"PLANTA CERRO DE LA ESTRELLA","99.0772686861111","19.337165125"
"31","Sub. S. Catarina",0.345121183064159,0.156016215425072,0.272813584368087,0.220306483914635,0.216334870028719,0.132304108177564,0.119918927707484,0.13381068834829,0.203836935351668,0.0956681600139142,0.40549685051666,0.152183659481771,"LA CALDERA","98.9751116194444","19.3394248083333"
"32","Sta. Catarina",0.342133433452207,0.243191525309824,0.411520637780424,0.201453059528473,0.187641203989053,0.121366003402885,0.141368813153105,0.14780656135843,0.129656031681492,0.134460217173824,0.295358741722723,0.104407549917281,"PLANTA SANTA CATARINA","99.0263777972222","19.3018302777778"
"33","Tlahuac",0.348052414644652,0.272780807722719,0.243455499736443,0.128781423689318,0.181705202529678,0.10247940174442,0.120923080331511,0.12390142596463,0.148764009494508,0.12799645435796,0.178374178323059,0.104493631933729,"TLAHUAC","90.0128664916667","19.282853"
"34","B. Tlalpan",0.254703722625732,0.179201704297357,0.361498080453526,0.227932488197119,0.142612380294164,0.117751636658818,0.124851229011146,0.134115499680104,0.113712178170486,0.139324969307109,0.216703416622337,0.150968261067129,"BOSQUE DE TLALPAN","99.1951793944445","19.2924560416667"
"35","Vi. Coapa",0.198390979879704,0.147682362649569,0.292994560131996,0.236114001265716,0.13960435434677,0.126757566143225,0.104105666682745,0.107318087709384,0.0970385196939976,0.102290470780729,0.17185578084724,0.781129295546435,"VILLA COAPA","99.1266028888889","19.2866908027778"
"36","S. Pedro M.",0.215920138708823,0.272674738558355,0.255864929135097,0.187830641256344,0.165235443353857,0.10799436675632,0.126378952146411,0.0991008518829265,0.0938943193352458,0.122029331765844,0.225461378458722,0.258647802987657,"SAN PEDRO MARTIR","99.1700563916667","19.2629811416667"
"37","Ajusco",0.167842632759861,0.195651897003968,0.193547383192514,0.22467367941002,0.156065978829909,0.106485082153156,0.111813633283858,0.0939832627547875,0.0761904321405537,0.105614871242198,0.168613320515484,0.158079707290508,"AJUSCO","99.2106603694444","19.219192375"
"38","Topilejo",0.19932892241932,0.279766840717734,0.266114153510389,0.223670971502977,0.169586892689367,0.116281752918926,0.104883894172318,0.110682799475709,0.084086184422137,0.10048580122373,0.325824040138802,0.265096627151344,"TOPILEJO","99.1305263444444","19.2033994"
"39","Caseta Forestal",0.120288132080465,0.0326102929311817,0.17389807048773,0.179332507057944,0.17237452003217,0.0974152776195609,0.113854289566956,0.0991498464365347,0.0818727566734504,0.089319640234706,0.149210639228262,0.147488846601142,"CASETA FORESTAL (PARRES)","99.1715899333333","19.1372550888889"
"40","Oficina Gavm",0.392267902847343,0.197584025949188,0.422302558436891,0.251366946785957,0.147051954790099,0.111009981292235,0.110039659144142,0.114714048527663,0.11373379128556,0.1371243055485,0.11374701941223,0.680355905232444,"GAVM SUR","99.0987412638889","19.318447"
"41","Nativitas",0.28390769032291,0.14551168904053,0.204673176101949,0.232149970638068,0.123791117316178,0.131242199106324,0.1348900889211,0.13549208739094,0.103089195065921,0.125814740869644,0.196202294508467,0.427262242676135,"NATIVITAS","99.0940204055556","19.2470804444444"
"42","San Luis",0.317345913029961,0.282216271976609,0.206806205616552,0.297306124836046,0.179840997915402,0.114499256135267,0.109578857058015,0.108808600107407,0.151689997518771,0.138928614034247,0.330371505955226,0.123052859799162,"SAN LUIS TLAXIALTEMALCO","99.0290262861111","19.2599288416667"
"43","Milpa Alta",0.109184277451947,0.277324079417948,0.162726142342997,0.217065438309538,0.197613846173592,0.121372914195354,0.138174777283419,0.15950669202048,0.113185981735352,0.126972485140657,0.308719704032471,0.106315376288874,"MILPA ALTA","99.0274099305555","19.1871925166667"
"44","Barrientos",0.573971662711961,0.182670138392743,0.297402239613603,0.214847962997508,0.196177320646688,0.100158230094036,0.105502846338088,0.100486461890527,0.0944941621465129,0.111167842091409,0.118195594155238,0.266621842675125,"BARRIENTOS","99.1847535444444","19.5810157"
"45","Vaso de C.",0.315787993518337,0.409004965576378,0.295714007222468,0.276846098833881,0.173544242965484,0.0939888183834915,0.113462355354311,0.0992567829229474,0.0788249226367664,0.0786950117486127,0.17308085093975,0.182101132925112,"VASO DE CRISTO","99.2136810361111","19.5110377416667"
"46","Chiconahutla I",0.408601840454479,0.181596487670914,0.474628904835634,0.241044495335428,0.186326740244343,0.139556432221103,0.133619208684889,0.128756424023155,0.148630365161249,0.102099071520321,0.092075067894997,0.137796861647195,"CHICONAUTLA I","99.0411828916667","19.5940560944444"
"47","Chiconahutla II",0.330305440120157,0.343097749156955,0.339887652801471,0.170429035226073,0.245206929710814,0.0903538105617938,0.11243044566638,0.0837231525144219,0.113835310111705,0.065987404528453,0.124273974557738,0.187237925670274,"CHICONAUTLA II","99.1083659027778","19.5157409111111"
"48","Palmas",0.337717132215065,0.276746153473722,0.380993397911828,0.199442959509167,0.156922368773105,0.0987126678750325,0.0943391150157027,0.10831272374538,0.0806933267564184,0.104377463681988,0.178813450837969,0.220964999410006,"PALMAS","99.2549765694444","19.4299705305556"
"49","El Venado",0.343291727210075,0.144687928914874,0.267876225011959,0.320517899661663,0.171724134517998,0.0840025435215477,0.0974106833994018,0.0803064856038781,0.0727646765445631,0.0954856290181656,0.247336701681236,0.351290776255352,"EL VENADO","99.3345244472222","19.3837148722222"
