"","ID","CALAGUA","ESCASEZ","Falta_ab","falla_AB","inf","PRESHDRL","SUBSIDE","USOSUEL","PRESME","dev_agua","FALTA_D","gasto","Pet_del_dren","abast","edad","Pop_ageb","I_ix","S_M","S_sd","F_M","F_sd"
"1",88,0.229961362726092,0,0.0625,0,0.6547,0.678706330490009,0,0.342427457081737,0.0625,0,1,0,0.26,37,4,1869,0.384,0,0,0,0
"2",644,0.514984839705055,0,0.0625,0.0625,0.9027,0.894290443476193,0,0.259179813325084,0.0625,0,1,0,1,149,9,2190,0.67829,0,0,0,0
"3",645,0.793222213117403,0,0.125,0.125,0.7381,0.57509643464949,0,0.667106957595231,0.125,0,1,0,1,209,14,3201,0.68407,0,0,0,0
"4",646,0.923951163031743,0,0.0625,0.0313,0.4151,0.160249987009945,0,0.946119625734865,0.125,0,1,0,1,12,6,148,0.50436,0,0,0,0
"5",647,0.897536541933219,0,0.0625,0.0313,0.6632,0.682133149027312,0,0.791778526637597,0.0625,0,1,0,0.25,15,6,32,0,0,0,0,0
"6",648,0.10447638216645,0,0.5,0.0625,0.3326,0.590529402643984,0,0.046572434909842,0.125,0,1,0,1,1136,9,5099,0.59471,0,0,0,0
"7",649,0.962164603044701,0,0.125,0.0625,0.6553,0.854397627311957,0,0.752555502093354,0.0625,0,1,0,1,300,9,3098,0.55625,0,0,0,0
"8",650,0.742955544267232,0,0.125,0.0625,0.3991,0.319327738557901,0,0.519146622994373,0.0625,0,1,0,0.5,250,9,768,0.47655,0,0,0,0
"9",651,0.726420083491565,0,0.0625,0.0625,0.2779,0.648179371547145,0,0.795342913196754,0.0625,0,1,0,0.5,157,9,250,0,0,0,0,0
"10",652,0.851715820157332,0,0.0625,0.0156,0.0249,0.503964439828605,0,0.224579546902591,0.0625,0,1,0,1,97,4,1553,0.58257,0,0,0,0
"11",653,0.224876091646776,0,0.0625,0.0156,0.1487,0.303398215542904,0,0.469429651141317,0.0625,0,1,0,1,95,4,1252,0.59297,0,0,0,0
"12",654,0.420014007666092,0,0.125,0.125,0.2433,0.929504548943629,0,0.680441340655349,0.0625,0,1,0,1,325,14,5116,0.63794,0,0,0,0
"13",655,0.567667449668445,0,0.0625,0.0625,0.3923,0.770522409900603,1,0.280713880052489,0.0625,0,1,0,0.5,9,9,40,0,0,0,0,0
"14",656,0.133776446582675,0,0.125,0.125,0.4115,0.909169237884785,1,0.527600937679397,0,0,1,0,1,307,14,2214,0.59214,0,0,0,0
"15",657,0.75250815916741,0,0.0625,0.125,0.4123,0.617492038786077,1,0.822693277789504,0,0,1,0,1,55,14,702,0.46196,0,0,0,0
"16",658,0.803787527040566,0,0.0625,0.0625,0.3889,0.516265100963554,1,0.123624264872374,0,0,1,0,1,17,9,220,0.53056,0,0,0,0
"17",659,0.043785310086217,0,0.0625,0.0625,0.7825,0.644137325469551,1,0.613758367664187,0,0,1,0,1,26,9,105,0.39507,0,0,0,0
"18",660,0.918540147406631,0,0.25,0.0625,0.3853,0.339171370546334,1,0.370293502220054,0,0,1,0,1,511,9,3541,0.56136,0,0,0,0
"19",661,0.292501511847097,0,0.5,0.125,0.5626,0.517730811315263,1,0.38757222152854,0,0,1,0,1,746,14,4723,0.54873,0,0,0,0
"20",662,0.413394142211009,0,0.125,0.125,0.4137,0.006203276633996,1,0.690156641532962,0,0,1,0,1,201,14,4353,0.55169,0,0,0,0
"21",663,0.437595764972762,0,0.25,0.125,0.3217,0.408671852309678,1,0.057286920602141,0.25,0,1,0,0.5,600,14,2091,0.52429,0,0,0,0
"22",664,0.946790483618366,0,0.0625,0.0625,0.5022,0.291169896663345,0,0.163368525920189,0.125,0,1,0,1,58,9,2480,0.58995,0,0,0,0
"23",665,0.034429240418324,0,0.0625,0.125,0.1232,0.985508519022947,0,0.519143500704407,0.5,0,1,0,1,114,14,2104,0.59715,0,0,0,0
"24",666,0.293602811593522,0,0.0625,0.125,0.6163,0.178067883521849,1,0.001992614376715,1,0,1,0,1,56,14,3499,0.63651,0,0,0,0
"25",667,0.166025129944526,0,0.25,0.125,0.8096,0.853069771710854,1,0.918439420591038,0.25,0,1,0,1,454,14,2732,0.62539,0,0,0,0
"26",668,0.3440215201047,0,0.25,0.0625,0.6333,0.378942254269297,1,0.973704136842543,0.0625,0,1,0,1,562,9,3712,0.6434,0,0,0,0
"27",669,0.6263893326713,0,0.0625,0.0156,0.0297,0.02761410884006,1,0.843602215074868,0.125,0,1,0,1,127,4,4116,0.68219,0,0,0,0
"28",670,0.849645245039271,0,0.0625,0.0625,0.9236,0.973409993527508,1,0.113834519757073,0.0625,0,1,0,0,10,9,4,0,0,0,0,0
"29",671,0.864178446574296,0,0.0625,0.125,0.0719,0.822240073907399,1,0.966890184849868,0.5,0,1,0,1,198,14,1732,0.70757,0,0,0,0
"30",672,0.495631703312383,0,0.0625,0.125,0.2208,0.437521054841092,1,0.980549827277789,0.125,0,1,0,1,60,14,1712,0.69178,0,0,0,0
"31",673,0.882540587667338,0,0.25,0.125,0.7846,0.186962217057492,1,0.93865828751405,0.0625,0,1,0,0.5,693,14,817,0.51732,0,0,0,0
"32",674,0.054200655912574,0,0.0625,0.0625,0.7485,0.457168155603872,1,0.277460916301456,0.125,0,1,0,1,37,9,414,0.55466,0,0,0,0
"33",675,0.831824508778325,0,0.0625,0.0625,0.6824,0.081376315007342,0,0.468473494906293,0.0625,0,1,0,0.5,189,9,221,0.48487,0,0,0,0
"34",676,0.650064921310137,0,0.25,0.0625,0.3271,0.02425273441656,1,0.543278813827004,0.0625,0,1,0,0.5,688,9,754,0.39407,0,0,0,0
"35",677,0.18311004443958,0,0.5,0.0625,0.4175,0.198268596162362,1,0.26601990033312,0.0625,0,1,0,0.5,1295,9,1295,0.45508,0,0,0,0
